Task name,Subtask name
Home page,API to validate and fetch hot products
Home page,API to validate and fetch new products
,
Categories page,API to validate and fetch all categories along with the products that belong to each category
Categories page,API to validate and fetch a single category
Categories page,API to filter and sort results
,
PLP,API to validate and fetch list of products
PLP,API to filter and sort results
PLP,API to persist the chosen item in DB for cart
PLP,API to persist the chosen item in DB for wishlist
,
PDP,API to validate and fetch product details
PDP,API to persist the chosen item in DB for cart
PDP,API to persist the chosen item in DB for wishlist
,
Cart,API to authenticate the user
Cart,API to validate and fetch cart items
,
Shipping Address,API to authenticate the user
Shipping Address,API to validate and fetch the shipping address saved in customer profile (if it exists)
Shipping Address,API to save and validate customer address
Shipping Address,API to validate and fetch city and state names in which the business operates
,
Delivery Method,API to authenticate the user
Delivery Method,API to validate and fetch all delivery methods supported by the business
,
Payment Method,API to authenticate the user
Payment Method,API to validate and fetch all payment methods supported by the business
,
Review Info,API to authenticate the user
Review Info,API to validate and fetch the cart items
Review Info,API to validate and fetch the shipping address
Review Info,API to validate and fetch the delivery
Review Info,API to validate and fetch the payment method
,
Order Success/Cancellation,API to authenticate the user
Order Success/Cancellation,API to persist the order details in DB
Order Success/Cancellation,API to validate and send the order information to the server for approval. Response is either success or cancelled
,
Dashboard,API to authenticate the user
Dashboard,"APIs to show stats such as profit, orders, sales etc"
,
Orders,API to authenticate the user
Orders,"API to validate and fetch all orders (pending, cancelled and completed)"
,
Wishlist,API to authenticate the user
Wishlist,API to fetch and validate the wishlist
,
Billing,API to authenticate the user
Billing,"API to validate and view, add or change the billing method"
,
Settings,API to authenticate the user
Settings,API to validate and view or change profile settings
